timestamp,user_id,item_id,subdomain,action_type,os
1098 days 00:02:48.544207,3207065,nfmcg_1761668,search,view,android
1098 days 00:02:55.640227,62664917,nfmcg_4085927,other,view,android
1098 days 00:04:24.525927,76599612,nfmcg_13165877,u2i,view,android
1098 days 00:08:26.454737,19187989,nfmcg_19906056,u2i,view,android
1098 days 00:10:07.079173,3207065,nfmcg_3998891,search,view,android
1098 days 00:10:42.138231,35820640,nfmcg_284956,other,view,android
1098 days 00:22:33.275026,39306103,nfmcg_4292092,u2i,view,android
1098 days 00:23:16.955055,13213304,nfmcg_19742246,u2i,view,android
1098 days 00:23:53.639418,38072167,nfmcg_26649662,u2i,view,ios
1098 days 00:24:40.179047,28821368,nfmcg_22802028,u2i,view,android
1098 days 00:24:52.399042,3207065,nfmcg_9104016,u2i,view,android
1098 days 00:25:22.736857,3207065,nfmcg_23559184,search,view,android
1098 days 00:26:36.956995,41034695,nfmcg_1263011,u2i,view,android
1098 days 00:27:38.912587,28821368,nfmcg_9091730,u2i,view,android
1098 days 00:31:40.134401,13213304,nfmcg_14517903,u2i,view,android
1098 days 00:32:39.984831,50235997,nfmcg_26806627,u2i,click,android
1098 days 00:35:56.101734,67324557,nfmcg_21674081,search,view,android
1098 days 00:36:29.466790,41008204,nfmcg_867469,u2i,view,android
1098 days 00:37:07.894308,9147261,nfmcg_20114920,other,view,android
1098 days 00:38:41.288879,43432437,nfmcg_16830074,u2i,view,android
1098 days 00:39:39.626952,3207065,nfmcg_19575632,u2i,view,android
1098 days 00:40:33.442366,3207065,nfmcg_3491112,u2i,view,android
1098 days 00:40:46.378469,69939832,nfmcg_28451636,u2i,view,android
1098 days 00:45:00.653248,45328424,nfmcg_4478803,u2i,view,android
1098 days 00:45:18.832216,31174913,nfmcg_20675903,other,view,android
1098 days 00:45:36.839897,43432437,nfmcg_10417851,u2i,view,android
1098 days 00:46:08.238232,28821368,nfmcg_19575632,u2i,view,android
1098 days 00:49:41.904961,27806484,nfmcg_6383887,u2i,view,android
1098 days 00:51:38.580367,3207065,nfmcg_28558581,search,view,android
1098 days 00:51:59.231459,22629359,nfmcg_254657,u2i,view,android
1098 days 00:52:45.928463,11570248,nfmcg_26419020,catalog,view,android
1098 days 00:53:02.678319,67324557,nfmcg_19358507,other,view,android
1098 days 00:54:37.950126,3207065,nfmcg_8564924,search,view,android
1098 days 00:57:18.899238,12534837,nfmcg_26806627,u2i,view,android
1098 days 00:58:09.149218,11281781,nfmcg_18843173,u2i,view,ios
1098 days 01:03:04.280691,11402786,nfmcg_13266323,u2i,view,android
1098 days 01:05:38.807104,28821368,nfmcg_10765817,u2i,view,android
1098 days 01:08:08.633882,3207065,nfmcg_13890080,search,view,android
1098 days 01:11:18.498212,11402786,nfmcg_20140725,u2i,view,android
1098 days 01:12:07.179298,67324557,nfmcg_3547227,search,view,android
1098 days 01:12:50.836353,11496423,nfmcg_19742246,u2i,view,android
1098 days 01:12:56.963910,50235997,nfmcg_17419311,u2i,view,android
1098 days 01:13:04.300242,37924756,nfmcg_12538738,other,view,android
1098 days 01:17:32.297769,11496423,nfmcg_2681623,u2i,view,android
1098 days 01:20:10.322789,67324557,nfmcg_6655754,other,view,android
1098 days 01:22:19.123417,73212316,nfmcg_16213424,other,view,android
1098 days 01:22:22.526048,13213304,nfmcg_10472957,u2i,view,android
1098 days 01:22:47.166572,26592247,nfmcg_26806627,catalog,view,android
1098 days 01:24:47.610901,19187989,nfmcg_1167561,u2i,view,android
1098 days 01:25:53.727774,3207065,nfmcg_10310953,u2i,view,android
1098 days 01:26:09.179952,45335831,nfmcg_14649335,u2i,view,android
1098 days 01:27:49.243775,67324557,nfmcg_27804220,search,view,android
1098 days 01:28:40.365191,67324557,nfmcg_9251125,search,view,android
1098 days 01:29:42.086457,3207065,nfmcg_2138782,u2i,view,android
1098 days 01:30:23.961894,87554499,nfmcg_13741830,other,view,android
1098 days 01:30:49.585655,19597826,nfmcg_28048730,u2i,view,android
1098 days 01:32:56.328687,69939832,nfmcg_4703456,u2i,view,android
1098 days 01:38:02.495270,39306103,nfmcg_15410130,u2i,view,android
1098 days 01:38:39.868281,11402786,nfmcg_21363739,u2i,view,android
1098 days 01:39:49.026144,41133300,nfmcg_24292729,u2i,view,android
1098 days 01:41:24.465317,29391887,nfmcg_22764748,u2i,view,android
1098 days 01:43:30.860955,3207065,nfmcg_16851959,u2i,view,android
1098 days 01:47:25.003246,56389430,nfmcg_254657,other,view,android
1098 days 01:48:44.737905,74169333,nfmcg_27711770,u2i,view,android
1098 days 01:48:44.942148,53399996,nfmcg_20675903,u2i,view,android
1098 days 01:49:14.191934,11496423,nfmcg_2544281,u2i,view,android
1098 days 01:49:56.730160,59807873,nfmcg_21179186,u2i,view,android
1098 days 01:52:14.947434,11570248,nfmcg_13517883,u2i,view,android
1098 days 01:52:21.118343,50235997,nfmcg_2681623,u2i,view,android
1098 days 01:54:29.258302,50235997,nfmcg_8577680,u2i,view,android
1098 days 01:55:21.298224,43432437,nfmcg_11106361,u2i,view,android
1098 days 01:56:55.218145,19597826,nfmcg_26806627,u2i,view,android
1098 days 01:58:22.419644,50235997,nfmcg_17419311,u2i,view,android
1098 days 01:58:22.552581,27806484,nfmcg_13757063,u2i,view,android
1098 days 02:00:32.309273,10477941,nfmcg_2992071,u2i,view,android
1098 days 02:00:47.315308,65686595,nfmcg_6383887,other,view,ios
1098 days 02:03:27.743108,3207065,nfmcg_6080785,search,view,android
1098 days 02:03:35.612784,3207065,nfmcg_1728448,search,view,android
1098 days 02:04:19.338905,69939832,nfmcg_4436221,u2i,view,android
1098 days 02:04:45.561446,45335831,nfmcg_15508131,u2i,view,ios
1098 days 02:04:49.031337,3207065,nfmcg_1343251,u2i,view,android
1098 days 02:08:05.011480,84527155,nfmcg_24564699,u2i,view,android
1098 days 02:10:26.502150,3207065,nfmcg_4735969,u2i,view,android
1098 days 02:11:52.095616,75148099,nfmcg_2681623,u2i,view,android
1098 days 02:12:07.040366,74429669,nfmcg_10707222,u2i,view,android
1098 days 02:13:42.525053,19597826,nfmcg_6841227,u2i,view,android
1098 days 02:13:47.796817,3207065,nfmcg_20209840,search,view,android
1098 days 02:15:39.823194,17715302,nfmcg_4932322,other,view,android
1098 days 02:15:59.992643,3207065,nfmcg_3183910,search,view,android
