user_id,socdem_cluster,region
1228,17.0,37.0
2329,5.0,11.0
14445,9.0,59.0
16466,12.0,38.0
23408,12.0,88.0
25727,9.0,56.0
26370,21.0,2.0
33729,21.0,81.0
36396,20.0,31.0
42711,21.0,2.0
49935,0.0,25.0
64418,9.0,63.0
72420,4.0,59.0
79986,17.0,76.0
81361,7.0,63.0
85783,20.0,2.0
85968,9.0,2.0
86238,9.0,18.0
101854,17.0,9.0
106434,0.0,72.0
110056,0.0,43.0
113323,9.0,2.0
116284,5.0,86.0
122466,4.0,90.0
124295,5.0,35.0
130873,17.0,25.0
133375,4.0,82.0
141421,19.0,54.0
146298,4.0,18.0
147116,4.0,51.0
150723,5.0,61.0
156315,12.0,2.0
156529,9.0,15.0
161444,21.0,84.0
162814,19.0,28.0
164867,4.0,71.0
168742,21.0,37.0
172522,17.0,37.0
173536,4.0,51.0
177449,5.0,24.0
177686,20.0,11.0
193194,20.0,2.0
194902,0.0,11.0
198147,9.0,21.0
205584,20.0,84.0
209880,10.0,60.0
211670,9.0,2.0
219738,21.0,17.0
221475,7.0,64.0
237569,21.0,41.0
239939,17.0,59.0
242379,19.0,60.0
246517,12.0,54.0
272179,12.0,60.0
279511,12.0,2.0
281039,12.0,48.0
281408,21.0,61.0
284193,0.0,46.0
287061,21.0,54.0
290788,7.0,51.0
292344,20.0,27.0
294573,7.0,60.0
294581,4.0,2.0
295405,12.0,13.0
307443,19.0,61.0
308127,19.0,14.0
314544,10.0,2.0
321323,9.0,59.0
333814,5.0,90.0
334170,20.0,55.0
339396,20.0,2.0
340160,21.0,28.0
350414,19.0,77.0
354548,21.0,25.0
358189,21.0,61.0
371858,12.0,2.0
375355,21.0,59.0
377507,21.0,24.0
377867,20.0,35.0
378160,9.0,84.0
378929,19.0,2.0
394383,21.0,40.0
398429,10.0,36.0
400112,10.0,2.0
406142,5.0,25.0
407736,21.0,1.0
419074,5.0,56.0
431872,17.0,90.0
436424,20.0,17.0
439018,5.0,24.0
441184,7.0,66.0
445020,12.0,2.0
453137,12.0,82.0
459908,9.0,77.0
463848,12.0,88.0
465539,9.0,11.0
