user_id,socdem_cluster,region
33686199,10.0,2.0
1959585,19.0,71.0
24199709,21.0,60.0
73091807,19.0,41.0
79599319,21.0,90.0
33698371,21.0,82.0
46185459,20.0,55.0
8952098,17.0,2.0
57511773,12.0,2.0
52044701,17.0,82.0
468591,20.0,17.0
29086809,4.0,2.0
21999971,0.0,37.0
38781063,0.0,18.0
83223314,12.0,31.0
20448818,12.0,70.0
33980453,12.0,55.0
60139977,6.0,12.0
28877603,21.0,83.0
1889952,18.0,15.0
82043059,4.0,23.0
17440477,21.0,61.0
46150800,10.0,2.0
71395684,17.0,18.0
85554680,20.0,84.0
10631272,17.0,60.0
39239007,9.0,51.0
59803475,9.0,60.0
37592377,13.0,81.0
13959746,20.0,2.0
87353304,12.0,22.0
86304363,21.0,53.0
87961286,4.0,28.0
72161089,20.0,9.0
51771465,21.0,90.0
46677410,17.0,90.0
20669459,20.0,24.0
78391069,10.0,11.0
44762159,4.0,63.0
23587338,20.0,90.0
61673405,9.0,2.0
35050253,19.0,84.0
82774512,21.0,2.0
54458369,5.0,4.0
21553310,12.0,71.0
70355726,17.0,63.0
22337561,19.0,60.0
32758773,4.0,82.0
63309995,0.0,37.0
86443412,9.0,18.0
51591824,17.0,90.0
59316020,12.0,9.0
9082341,10.0,3.0
13079203,7.0,2.0
57586354,9.0,46.0
70112985,17.0,18.0
70678882,12.0,18.0
10982670,9.0,82.0
41265467,5.0,2.0
37379299,4.0,11.0
28679294,17.0,37.0
34726559,5.0,2.0
65330600,20.0,24.0
66954242,9.0,32.0
76493325,21.0,70.0
37947967,17.0,59.0
7350140,12.0,15.0
84876471,20.0,29.0
50383061,19.0,2.0
87370426,12.0,82.0
16211751,19.0,24.0
63979399,4.0,76.0
460026,17.0,4.0
67583520,12.0,2.0
19327486,17.0,18.0
50955293,9.0,24.0
64927691,19.0,43.0
12372375,19.0,2.0
24631096,17.0,18.0
75514036,18.0,25.0
70187593,10.0,76.0
50771304,10.0,76.0
68593687,17.0,4.0
79713087,17.0,60.0
50100090,19.0,54.0
4104912,9.0,2.0
68217564,9.0,
13565795,0.0,18.0
66511105,12.0,32.0
17699492,12.0,14.0
8639965,9.0,60.0
30840067,20.0,18.0
32615860,9.0,82.0
60189067,19.0,85.0
9563546,17.0,59.0
2052672,21.0,54.0
34675673,21.0,46.0
35823687,21.0,90.0
66503116,0.0,90.0
11397126,17.0,54.0
72278006,17.0,60.0
38314341,0.0,61.0
5764963,17.0,64.0
29998554,12.0,2.0
62418205,20.0,63.0
8983825,0.0,59.0
2494823,9.0,24.0
20731132,10.0,21.0
53911652,12.0,63.0
82647737,17.0,2.0
68245991,7.0,2.0
27508602,17.0,2.0
42636692,10.0,29.0
20162321,4.0,72.0
23721018,21.0,15.0
55841511,18.0,67.0
17185689,9.0,64.0
60197788,9.0,60.0
31317062,20.0,29.0
54218986,10.0,87.0
88987613,19.0,2.0
73658909,12.0,7.0
3804055,17.0,36.0
46499900,4.0,11.0
40417673,19.0,9.0
2658365,12.0,2.0
46581706,7.0,66.0
29163053,17.0,59.0
27185445,0.0,28.0
23297412,10.0,25.0
74276253,19.0,49.0
87345390,20.0,18.0
79068360,18.0,61.0
12826832,12.0,2.0
78930788,12.0,7.0
86668681,12.0,8.0
10223922,21.0,3.0
33021648,17.0,2.0
51256848,12.0,29.0
72602950,9.0,90.0
84937380,20.0,2.0
1961965,10.0,12.0
25620677,10.0,84.0
82431475,4.0,49.0
57804030,4.0,10.0
85353307,5.0,71.0
47321028,1.0,17.0
72525175,0.0,59.0
26412761,0.0,82.0
21119169,12.0,51.0
35902631,10.0,18.0
62571013,20.0,11.0
66106002,5.0,61.0
27663948,19.0,90.0
3907071,20.0,23.0
27734633,20.0,59.0
35145377,20.0,90.0
87339609,5.0,35.0
79097754,0.0,2.0
48299979,10.0,71.0
66342626,12.0,18.0
54013123,4.0,37.0
7458513,21.0,82.0
80053529,21.0,28.0
29760170,20.0,54.0
57913812,9.0,2.0
8092532,0.0,59.0
23857015,13.0,59.0
85784656,9.0,59.0
32381046,20.0,2.0
2310530,0.0,11.0
23756451,12.0,2.0
27071288,17.0,22.0
69963064,17.0,7.0
63752084,21.0,2.0
48874288,10.0,2.0
40062925,10.0,85.0
37248382,21.0,17.0
44409213,20.0,2.0
17271870,21.0,2.0
40245435,9.0,13.0
32109838,17.0,11.0
71834586,4.0,84.0
47608096,12.0,60.0
67338859,12.0,60.0
46517890,4.0,15.0
22542963,7.0,1.0
33774013,9.0,17.0
21796443,19.0,19.0
22414359,17.0,2.0
37231741,20.0,18.0
13880281,20.0,88.0
44905158,17.0,14.0
11054563,12.0,35.0
68357705,12.0,17.0
85757810,0.0,17.0
37514507,19.0,61.0
61829654,21.0,38.0
81004121,0.0,24.0
43078842,9.0,24.0
45902,20.0,18.0
84759621,4.0,18.0
14870327,10.0,82.0
57928361,12.0,2.0
26242302,17.0,34.0
86316815,17.0,71.0
27173907,17.0,84.0
89886327,17.0,84.0
35719870,9.0,29.0
26839670,12.0,37.0
49505885,9.0,41.0
89377823,0.0,46.0
32091667,17.0,90.0
7802368,4.0,76.0
64680950,21.0,84.0
56743709,9.0,2.0
38782709,0.0,71.0
67531725,12.0,21.0
86867261,17.0,53.0
80488160,18.0,50.0
46884510,18.0,76.0
2007731,18.0,90.0
49058920,20.0,82.0
1686633,20.0,61.0
10497714,5.0,85.0
7008984,10.0,90.0
44323711,9.0,2.0
35655407,12.0,18.0
67638511,5.0,63.0
63220108,17.0,41.0
44857094,9.0,2.0
27820749,4.0,31.0
75733904,12.0,24.0
6030558,17.0,85.0
50160835,10.0,44.0
42509379,17.0,2.0
52257583,7.0,23.0
61414279,20.0,37.0
29338171,19.0,23.0
41423337,21.0,2.0
46404711,17.0,90.0
1534768,7.0,29.0
84309572,4.0,2.0
58040069,0.0,18.0
65200210,20.0,21.0
28733804,0.0,15.0
9001936,17.0,69.0
31970551,20.0,45.0
47427951,17.0,23.0
41221886,10.0,11.0
14079388,4.0,29.0
89438199,12.0,60.0
50930738,21.0,41.0
19306854,12.0,67.0
48228142,12.0,81.0
17791868,21.0,60.0
63041495,5.0,9.0
17582889,21.0,70.0
82569562,21.0,2.0
89901660,17.0,18.0
23367308,19.0,60.0
65289292,4.0,22.0
81745107,9.0,81.0
13067697,1.0,
40012155,12.0,60.0
30771143,13.0,60.0
8539621,17.0,2.0
82584246,17.0,8.0
53444315,4.0,84.0
80883293,18.0,59.0
45760680,4.0,76.0
3558496,0.0,2.0
60797561,5.0,43.0
25268052,17.0,82.0
74777870,20.0,90.0
52912758,19.0,15.0
15059646,17.0,2.0
38078686,10.0,2.0
71377024,21.0,2.0
28726630,20.0,2.0
48282956,,
76899140,20.0,2.0
82363829,5.0,2.0
40253966,10.0,31.0
58355731,4.0,2.0
23759350,21.0,2.0
82500528,17.0,18.0
70119704,20.0,58.0
20734316,0.0,2.0
28151458,9.0,29.0
83728609,19.0,64.0
36647076,0.0,41.0
5299953,17.0,2.0
12641289,4.0,38.0
31752208,12.0,84.0
29048607,18.0,17.0
15986812,21.0,15.0
68588468,5.0,15.0
12072644,1.0,2.0
74485511,16.0,53.0
44283153,21.0,46.0
86681084,19.0,35.0
89398029,12.0,88.0
44474587,9.0,2.0
24991015,0.0,90.0
22150922,9.0,61.0
49330675,10.0,18.0
11375124,12.0,18.0
89492505,17.0,24.0
66164788,12.0,15.0
60329368,5.0,72.0
25196358,0.0,53.0
21063099,21.0,60.0
48604824,7.0,46.0
70244414,21.0,82.0
24666308,9.0,18.0
14906238,1.0,66.0
3647186,20.0,54.0
47734826,21.0,41.0
77204997,21.0,2.0
21680654,21.0,56.0
75247135,7.0,17.0
45553942,0.0,12.0
31928911,0.0,60.0
64048252,9.0,60.0
43290659,9.0,60.0
67727304,21.0,70.0
30348672,17.0,67.0
52679067,17.0,5.0
13229643,12.0,2.0
54030494,17.0,2.0
39949208,21.0,35.0
57544827,10.0,24.0
17701395,1.0,87.0
69960905,0.0,18.0
45931459,19.0,2.0
7268853,17.0,60.0
29967069,20.0,56.0
18097779,10.0,24.0
33461590,9.0,15.0
24161595,9.0,2.0
15382625,10.0,61.0
22405107,4.0,72.0
18306567,17.0,1.0
16281640,4.0,2.0
78715418,0.0,82.0
79451202,7.0,81.0
23324651,0.0,60.0
11673219,21.0,24.0
75715632,0.0,17.0
79803766,10.0,15.0
37222976,17.0,90.0
28990643,0.0,90.0
83436464,12.0,22.0
22208520,9.0,11.0
63639286,17.0,59.0
32997695,4.0,2.0
56213427,21.0,41.0
44088214,12.0,2.0
47174921,17.0,64.0
85510384,21.0,2.0
63414600,12.0,29.0
78104286,19.0,84.0
7897374,18.0,86.0
28703872,10.0,61.0
24001059,10.0,10.0
28959890,9.0,24.0
2243413,20.0,70.0
46239518,20.0,58.0
65957376,20.0,37.0
38879196,10.0,4.0
42123294,12.0,18.0
19116192,21.0,56.0
24195142,17.0,11.0
79737871,21.0,82.0
5437923,12.0,23.0
16829586,10.0,38.0
69751507,9.0,59.0
39380386,7.0,89.0
15624461,21.0,18.0
23671821,21.0,17.0
27199910,5.0,63.0
41047622,12.0,86.0
71624653,10.0,17.0
75435375,17.0,54.0
13789492,12.0,60.0
4251728,12.0,24.0
53435647,17.0,66.0
40147797,17.0,9.0
62633250,0.0,43.0
10855195,10.0,60.0
60442443,4.0,36.0
81343907,12.0,49.0
82049241,10.0,44.0
13798751,20.0,55.0
39672630,12.0,2.0
20257514,20.0,50.0
83520268,0.0,2.0
38042559,21.0,25.0
33807380,10.0,82.0
61302605,17.0,11.0
64429141,17.0,2.0
10440135,20.0,2.0
3511635,17.0,2.0
6076740,0.0,54.0
19720726,1.0,24.0
77694241,17.0,25.0
88011989,17.0,
24669059,9.0,60.0
40355425,9.0,44.0
60105040,12.0,15.0
73121955,4.0,41.0
66839046,4.0,84.0
44581526,21.0,4.0
87617317,20.0,54.0
76217232,5.0,41.0
72991963,21.0,2.0
69515873,17.0,66.0
71632830,7.0,52.0
26096352,9.0,88.0
9400883,18.0,60.0
8282298,17.0,24.0
55021785,19.0,72.0
41467157,0.0,2.0
71019367,12.0,88.0
43177115,9.0,86.0
6147260,20.0,29.0
22791258,0.0,59.0
28439651,17.0,59.0
77099629,17.0,21.0
55915252,0.0,11.0
75422591,17.0,76.0
66626572,21.0,24.0
50425746,0.0,48.0
68503522,16.0,29.0
82217649,17.0,60.0
2953194,21.0,60.0
49451027,17.0,90.0
24491914,21.0,25.0
73242600,20.0,8.0
89535878,17.0,2.0
53239584,9.0,36.0
50661662,21.0,84.0
50538040,19.0,38.0
50793570,17.0,2.0
11578067,21.0,18.0
41740031,20.0,11.0
79525703,10.0,7.0
88461164,19.0,2.0
48303794,21.0,46.0
34824922,21.0,2.0
70507692,18.0,54.0
83303824,18.0,29.0
16429963,10.0,2.0
85396251,21.0,81.0
59814636,0.0,90.0
30883261,9.0,17.0
70757420,10.0,53.0
54093648,5.0,15.0
77167592,1.0,53.0
33609112,4.0,2.0
10521456,7.0,90.0
43565474,10.0,82.0
62194236,12.0,36.0
78450518,21.0,82.0
86361679,4.0,90.0
82560989,18.0,28.0
9856540,17.0,64.0
65511973,21.0,79.0
56993080,19.0,54.0
55423280,0.0,1.0
23736246,12.0,11.0
54606215,21.0,43.0
80164180,12.0,66.0
58356654,17.0,18.0
67076037,0.0,2.0
47325015,7.0,2.0
22923466,17.0,17.0
80174371,7.0,10.0
83702290,5.0,29.0
80538006,21.0,2.0
15146875,17.0,2.0
31781277,9.0,2.0
62223383,17.0,64.0
5321854,19.0,60.0
8142017,17.0,37.0
72056821,7.0,36.0
43317804,0.0,44.0
50254225,12.0,47.0
13915157,10.0,32.0
40364256,21.0,
30889442,17.0,17.0
75689886,12.0,60.0
67266547,9.0,60.0
3077973,21.0,25.0
45371354,9.0,82.0
30506974,9.0,66.0
75549855,17.0,67.0
36758453,10.0,11.0
69725150,0.0,1.0
84926049,0.0,25.0
13142137,5.0,46.0
50563184,21.0,2.0
67355772,5.0,1.0
87311257,10.0,60.0
45631430,18.0,90.0
80297789,13.0,24.0
10832952,12.0,2.0
19656599,4.0,47.0
85898831,16.0,90.0
89660895,0.0,60.0
28523021,21.0,29.0
10928679,20.0,10.0
21220337,4.0,24.0
41989425,12.0,66.0
14074239,21.0,76.0
29064979,10.0,53.0
39879195,20.0,25.0
56691685,9.0,54.0
68601956,4.0,2.0
42927626,12.0,2.0
74423615,4.0,90.0
21564360,9.0,82.0
19492445,17.0,56.0
17616966,18.0,35.0
29173322,12.0,2.0
58362795,12.0,22.0
29126678,20.0,41.0
83322722,20.0,
1836583,7.0,45.0
12384046,19.0,90.0
49146983,17.0,32.0
49315344,17.0,4.0
13037612,21.0,2.0
76769687,21.0,76.0
36494549,10.0,2.0
8580981,21.0,90.0
57378978,21.0,16.0
81202518,20.0,63.0
64852997,17.0,44.0
75647776,4.0,85.0
75924380,4.0,85.0
38614652,17.0,11.0
47928947,17.0,32.0
36057452,0.0,84.0
25754106,19.0,61.0
54480117,19.0,90.0
16077685,17.0,85.0
39578656,12.0,75.0
41830627,19.0,25.0
59821427,10.0,2.0
72560024,12.0,60.0
10078509,12.0,60.0
47889850,17.0,82.0
81170896,4.0,60.0
33316961,21.0,88.0
47746691,7.0,24.0
46483906,9.0,7.0
65297263,20.0,61.0
7634248,9.0,21.0
32889380,19.0,36.0
